GPT-4.1 Mini Performance Comparison
==================================================
Format: TaskID | Original | TB (Terminal-Bench)
2008h        | Unknown  | Fail    
2013a        | Unknown  | Pass    
2013b        | Unknown  | Fail    
2013d        | Unknown  | Fail    
2013f1       | Unknown  | Fail    
2014a        | Unknown  | Pass    
2014b        | Unknown  | Pass    
2014c        | Unknown  | Fail    
2014d        | Unknown  | Fail    
2014f        | Unknown  | Fail    
2014g        | Unknown  | Pass    
2014h        | Unknown  | Pass    
2018b        | Unknown  | Fail    
2018c        | Unknown  | Fail    
2018e1       | Fail     | Fail    
2018e2       | Fail     | Fail    
2019b        | Unknown  | Pass    
2020a        | Unknown  | Pass    
2020c        | Unknown  | Pass    
2020d        | Unknown  | Pass    
2020e        | Unknown  | Pass    
2020f        | Unknown  | Pass    
2021b        | Fail     | Fail    
2021c1       | Fail     | Fail    
2021c2       | Fail     | Fail    
2021d        | Fail     | Fail    
2021e2       | Fail     | Fail    
2021e3       | Fail     | Fail    
2022a        | Fail     | Fail    
2022b        | Pass     | Fail    
2022c        | Fail     | Fail    
2022e1       | Pass     | Pass    
2022e2       | Fail     | Pass    
2023b        | Fail     | Fail    
2023f        | Fail     | Fail    
2024a        | Pass     | Pass    
2024b        | Fail     | Fail    
2025b        | Pass     | Pass    
2025e        | Fail     | Fail    
2025f        | Fail     | Fail    
2026a        | Fail     | Fail    
2026c        | Fail     | Fail    
2026d        | Fail     | Fail    
2026e        | Fail     | Fail    
2026f        | Fail     | Pass    
2027a        | Fail     | Fail    
2027b        | Fail     | Fail    
2027d1       | Fail     | Fail    
2027d2       | Fail     | Fail    
2027e2       | Fail     | Fail    
2028d        | Fail     | Fail    
2028e        | Fail     | Fail    
2028f        | Fail     | Fail    
2029c        | Fail     | Fail    
2029e        | Fail     | Fail    
2029g        | Fail     | Fail    
2029h        | Fail     | Fail    
2029i        | Fail     | Fail    
2030a        | Pass     | Fail    
2030b        | Pass     | Fail    
2030c        | Fail     | Fail    
2030d        | Pass     | Fail    
2030e        | Fail     | Fail    
2030f        | Fail     | Fail    
2030g1       | Fail     | Fail    
2030g2       | Fail     | Fail    
2031a        | Pass     | Pass    
2031c        | Fail     | Pass    
2032a        | Pass     | Fail    
2032b        | Fail     | Fail    
2032c        | Fail     | Fail    
2033a        | Pass     | Fail    
2033c        | Fail     | Fail    
2033e        | Pass     | Fail    
2034c        | Fail     | Fail    
2034d        | Fail     | Fail    
2034e        | Fail     | Fail    
2034f1       | Fail     | Fail    
2034g2       | Fail     | Fail    
2034h        | Fail     | Fail    
2035a        | Fail     | Pass    
2035c        | Fail     | Fail    
2035e        | Fail     | Fail    
2035g2       | Fail     | Fail    
2035h        | Fail     | Fail    
2036a        | Pass     | Pass    
2036d        | Fail     | Fail    
2037d        | Fail     | Fail    
2039a        | Pass     | Pass    
2039c1       | Fail     | Fail    
2039e        | Fail     | Fail    
2039g        | Fail     | Fail    
2039h2       | Fail     | Fail    
2040a        | Fail     | Fail    
2040b        | Fail     | Fail    
2040c        | Fail     | Fail    
2040d        | Fail     | Fail    
2040e        | Fail     | Pass    
2042a        | Fail     | Fail    
2042b        | Fail     | Fail    
2042c        | Fail     | Fail    
2042d        | Fail     | Fail    
2042e        | Fail     | Fail    
2042f        | Fail     | Fail    
2043a        | Pass     | Pass    
2043b        | Fail     | Fail    
2043c        | Fail     | Fail    
2043g        | Fail     | Fail    
2044b        | Pass     | Pass    
2044c        | Fail     | Fail    
2044d        | Fail     | Fail    
2044g1       | Fail     | Fail    
2044g2       | Fail     | Fail    
2046a        | Fail     | Fail    
2046b        | Fail     | Fail    
2046c        | Fail     | Fail    
2046d        | Fail     | Fail    
2046e1       | Fail     | Fail    
2046f1       | Fail     | Fail    
2047a        | Pass     | Fail    
2048a        | Fail     | Fail    
2048b        | Fail     | Fail    
2048c        | Fail     | Fail    
2048d        | Fail     | Fail    
2048e        | Fail     | Fail    
2048f        | Fail     | Fail    
2048g        | Fail     | Fail    
2048i2       | Fail     | Fail    
2049a        | Fail     | Fail    
2049b        | Pass     | Fail    
2049c        | Fail     | Fail    
2050a        | Pass     | Fail    
2050b        | Pass     | Fail    
2050c        | Pass     | Pass    
2050g        | Pass     | Fail    
2051a        | Pass     | Fail    
2051b        | Pass     | Pass    
2051c        | Pass     | Pass    
2051d        | Pass     | Pass    
2051f        | Fail     | Fail    
2051g        | Fail     | Fail    
2053d        | Fail     | Fail    
2053e        | Fail     | Fail    
2053f        | Fail     | Fail    
2053h        | Fail     | Fail    
2053i1       | Fail     | Fail    
2053i2       | Fail     | Fail    
2055a        | Fail     | Fail    
2055b        | Fail     | Fail    
2055c        | Fail     | Fail    
2055d        | Fail     | Fail    
2055e        | Fail     | Fail    
2055f        | Fail     | Fail    
2056a        | Fail     | Fail    
2056b        | Fail     | Fail    
2056c        | Fail     | Fail    
2056d        | Fail     | Fail    
2056e        | Fail     | Fail    
2056f1       | Fail     | Fail    
2056f2       | Fail     | Fail    
2057a        | Fail     | Fail    
2057c        | Fail     | Fail    
2057d        | Fail     | Fail    
2057e2       | Fail     | Fail    
2057f        | Fail     | Fail    
2057h        | Fail     | Fail    
2059a        | Fail     | Fail    
2059b        | Fail     | Fail    
2059c        | Fail     | Fail    
2059d        | Fail     | Fail    
2059e1       | Fail     | Fail    
2059e2       | Fail     | Fail    
2060a        | Pass     | Pass    
2060b        | Pass     | Pass    
2060d        | Pass     | Pass    
2060f        | Fail     | Fail    
2060g        | Fail     | Fail    
2061c        | Fail     | Pass    
2061e        | Fail     | Fail    
2061f1       | Fail     | Fail    
2061f2       | Fail     | Fail    
2061h1       | Fail     | Fail    
2061h2       | Fail     | Fail    
2061i        | Fail     | Fail    
2062a        | Fail     | Pass    
2062b        | Fail     | Fail    
2062c        | Fail     | Fail    
2062d        | Fail     | Fail    
2062f        | Fail     | Fail    
2062g        | Fail     | Fail    
2062h        | Fail     | Fail    
2063a        | Fail     | Fail    
2063b        | Fail     | Fail    
2063d        | Fail     | Fail    
2063f1       | Fail     | Fail    
2063f2       | Fail     | Fail    
2064a        | Fail     | Fail    
2064b        | Fail     | Fail    
2064c        | Fail     | Fail    
2064d        | Fail     | Fail    
2064e        | Fail     | Fail    
2064f        | Fail     | Fail    
2065a        | Pass     | Pass    
2065b        | Pass     | Fail    
2065c2       | Fail     | Fail    
2065d        | Fail     | Pass    
2065e        | Fail     | Pass    
2065f        | Fail     | Fail    
2065g        | Fail     | Fail    
2065h        | Fail     | Fail    
2066b        | Fail     | Fail    
2066c        | Fail     | Fail    
2066d1       | Fail     | Fail    
2066d2       | Fail     | Fail    
2066e        | Fail     | Fail    
2066f        | Fail     | Fail    
2067a        | Fail     | Fail    
2067b        | Fail     | Fail    
2069a        | Pass     | Fail    
2069c        | Fail     | Fail    
2069d        | Fail     | Fail    
2069e        | Fail     | Fail    
2069f        | Fail     | Fail    
2070a        | Pass     | Pass    
2070c        | Fail     | Pass    
2070d        | Fail     | Fail    
2070e        | Fail     | Fail    
2070f        | Fail     | Pass    
2071a        | Pass     | Pass    
2071b        | Fail     | Fail    
2071c        | Fail     | Fail    
2071d1       | Fail     | Fail    
2071d2       | Fail     | Fail    
2071f        | Fail     | Fail    
2072a        | Fail     | Pass    
2072b        | Pass     | Pass    
2072c        | Fail     | Fail    
2072e        | Fail     | Fail    
2072f        | Pass     | Fail    
2074a        | Fail     | Fail    
2074b        | Pass     | Fail    
2074c        | Fail     | Fail    
2075a        | Pass     | Fail    
2075b        | Fail     | Fail    
2075c        | Pass     | Pass    
2075d        | Fail     | Pass    
2075e        | Fail     | Fail    
2075f        | Fail     | Fail    
2077a        | Fail     | Fail    
2077c        | Fail     | Fail    
2077d        | Fail     | Fail    
2077f        | Fail     | Fail    
2077g        | Fail     | Fail    
2078a        | Fail     | Pass    
2078b        | Fail     | Fail    
2084a        | Fail     | Fail    
2084b        | Fail     | Fail    
2084c        | Fail     | Fail    
2084d        | Fail     | Fail    
2084e        | Fail     | Fail    
2084f        | Fail     | Fail    
2084g1       | Fail     | Fail    
2084g2       | Fail     | Fail    
2084h        | Fail     | Fail    
2085a        | Fail     | Fail    
2085b        | Fail     | Fail    
2085c        | Fail     | Fail    
2085d        | Fail     | Fail    
2085f1       | Fail     | Fail    
2085f2       | Fail     | Fail    
2086a        | Pass     | Pass    
2086c        | Fail     | Fail    
2086e        | Fail     | Fail    
2089a        | Fail     | Fail    
2089b1       | Fail     | Fail    
2089b2       | Fail     | Fail    
2089c1       | Fail     | Fail    
2089c2       | Fail     | Fail    
2089d        | Fail     | Fail    
2089e        | Fail     | Fail    
2090b        | Fail     | Fail    
2090c        | Fail     | Pass    
2091a        | Fail     | Fail    
2091b        | Pass     | Pass    
2091c        | Fail     | Fail    
2091e        | Pass     | Pass    
2091f        | Fail     | Fail    
2091g        | Fail     | Fail    
2092a        | Pass     | Fail    
2092b        | Fail     | Pass    
2092c        | Fail     | Fail    
2092d        | Fail     | Fail    
2092f        | Fail     | Fail    
2093a        | Pass     | Pass    
2093b        | Fail     | Fail    
2093c        | Fail     | Fail    
2093d        | Pass     | Pass    
2093f        | Fail     | Fail    
2094a        | Pass     | Pass    
2094b        | Fail     | Fail    
2094c        | Pass     | Pass    
2094d        | Pass     | Fail    
2094e        | Pass     | Pass    
2096a        | Fail     | Fail    
2096b        | Pass     | Fail    
2096c        | Fail     | Fail    
2096d        | Fail     | Fail    
2096e        | Fail     | Fail    
2096g        | Fail     | Fail    
2096h        | Fail     | Pass    
2097a        | Fail     | Fail    
2097d        | Fail     | Fail    
2097e        | Fail     | Pass    
2097f        | Fail     | Fail    
2098a        | Pass     | Pass    
2098b        | Fail     | Fail    
2101a        | Fail     | Fail    
2101b        | Fail     | Fail    
2101c        | Fail     | Fail    
2101d        | Fail     | Fail    
2101e        | Fail     | Pass    
2102a        | Pass     | Fail    
2102b        | Pass     | Fail    
2103a        | Fail     | Fail    
2103c        | Fail     | Fail    
2103d        | Fail     | Fail    
2103e        | Fail     | Fail    
2103f        | Fail     | Fail    
2104a        | Fail     | Pass    
2104b        | Pass     | Pass    
2104c        | Fail     | Fail    
2104d        | Fail     | Fail    
2104e        | Fail     | Fail    
2104f        | Fail     | Fail    
2104g        | Fail     | Fail    
2106a        | Pass     | Pass    
2106b        | Pass     | Fail    
2106d        | Pass     | Fail    
2106e        | Fail     | Fail    
2106f        | Fail     | Fail    
2107a        | Pass     | Fail    
2107b        | Fail     | Fail    
2107c        | Fail     | Fail    
2107e        | Fail     | Pass    
2107f1       | Fail     | Fail    
2107f2       | Fail     | Fail    
2108a        | Fail     | Fail    
2108b        | Fail     | Fail    
2108c        | Fail     | Fail    
2108d        | Fail     | Fail    
2108e        | Fail     | Fail    
2108f        | Fail     | Fail    
2109a        | Fail     | Fail    
2109c3       | Fail     | Fail    
2109d        | Fail     | Fail    
2109e        | Fail     | Fail    
2109f        | Fail     | Fail    
2110a        | Fail     | Fail    
2110b        | Fail     | Fail    
2110c        | Fail     | Pass    
2110d        | Fail     | Fail    
2110f        | Fail     | Fail    
2111a        | Fail     | Fail    
2111b        | Fail     | Fail    
2111c        | Fail     | Fail    
2111d        | Fail     | Fail    
2111e        | Fail     | Fail    
2111f        | Fail     | Fail    
2111g        | Fail     | Pass    
2112a        | Pass     | Pass    
2112c        | Fail     | Fail    
2112d        | Fail     | Fail    
2112e        | Fail     | Fail    
2112f        | Fail     | Fail    
2113a        | Pass     | Pass    
2113b        | Fail     | Fail    
2113c        | Fail     | Fail    
2113d        | Fail     | Fail    
2113e        | Fail     | Fail    
2113f        | Fail     | Fail    
2114a        | Pass     | Pass    
2114b        | Pass     | Fail    
2114c        | Pass     | Pass    
2114e        | Fail     | Fail    
2114f        | Fail     | Fail    
2114g        | Fail     | Fail    
2115a        | Fail     | Fail    
2115b        | Fail     | Fail    
2115c        | Fail     | Fail    
2115d        | Fail     | Fail    
2115e        | Fail     | Fail    
2115f1       | Fail     | Pass    
2115f2       | Fail     | Fail    
2116a        | Fail     | Fail    
2116b        | Fail     | Pass    
2117a        | Pass     | Pass    
2117b        | Fail     | Fail    
2117c        | Fail     | Fail    
2117e        | Fail     | Fail    
2117f        | Fail     | Fail    
2117g        | Fail     | Fail    
2117h        | Fail     | Fail    
2118a        | Pass     | Pass    
2118b        | Fail     | Fail    
2118c        | Fail     | Fail    
2118d1       | Fail     | Fail    
2118d2       | Fail     | Fail    
2118e        | Fail     | Fail    
2118f        | Fail     | Fail    
2120a        | Fail     | Pass    
2120b        | Fail     | Pass    
2120c        | Fail     | Fail    
2120d        | Fail     | Fail    
2120f        | Fail     | Fail    
2120g        | Fail     | Fail    
2121a        | Pass     | Pass    
2121d        | Pass     | Pass    
2121e        | Fail     | Fail    
2121g        | Fail     | Fail    
2121h        | Fail     | Fail    

==================================================
SUMMARY STATISTICS
==================================================

Original Results:
  Pass:     66
  Fail:    336
  Unknown: 114
  Accuracy: 16.42% (66/402)

TB (Terminal-Bench) Results:
  Pass:    108
  Fail:    407
  Unknown:   1
  Accuracy: 20.97% (108/515)

Comparison on Common Non-Unknown Tasks:
  Common tasks: 402
  Agreement: 348/402 (86.57%)
  Original accuracy on common: 16.42%
  TB accuracy on common: 16.42%
